Año,Meses,Departamento,Provincia,Distrito,Conglomerado,Estratos,Geografico,Visitas,TEM,TNR_Historica_Cong,TNR_Historica_Distrito,TNR_Historica_Departamento,N_HOGAR,TotalPersHogar,TotalMuj12_49,TotalMen_12,TotalMen_6,TotalMen_5,TotalMen_3,DuracionPromedio,TNR,TNR_ALTA,Altitud,Latitud,Longitud
2022,abr,Huánuco,Leoncio Prado,Rupa-Rupa,540,Medio Bajo,Selva,1.4,20.0,0.961538461538462,0.961538461538462,0.961538461538462,10,30,8.0,8.0,5.0,5.0,5.0,13.9,0.0,0,666.0400000000001,-9.318442333333332,-75.99957333333333
2022,abr,Huánuco,Pachitea,Molino,567,Rural,Sierra Centro,1.27,13.3333333333333,0.0,0.0,0.0,15,52,12.0,22.0,12.0,10.0,6.0,19.8,7.69230769230769,1,2784.8266666666664,-9.974848666666668,-76.04155044444444
2022,abr,Huánuco,Pachitea,Umari,568,Rural,Sierra Centro,1.0,0.0,0.854700854700855,0.854700854700855,0.854700854700855,15,52,12.0,20.0,15.0,8.0,5.0,17.7,0.0,0,2665.4866666666667,-9.866305111111112,-76.04781022222222
2022,abr,Ica,Chincha,Chincha Alta,3455,Medio,Costa Centro,1.0,0.0,6.07638032421853,6.07638032421853,6.07638032421853,10,49,12.0,12.0,8.0,6.0,4.0,13.6,0.0,0,120.63000000000002,-13.411766833333331,-76.12826033333334
2022,abr,Ica,Chincha,El Carmen,3466,Bajo,Costa Centro,1.0,0.0,0.0,0.0,0.0,10,40,8.0,15.0,12.0,10.0,6.0,27.0,0.0,0,89.07000000000001,-13.5015215,-76.11354133333333
2022,abr,Ica,Chincha,Pueblo Nuevo,601,Medio,Costa Centro,1.5,0.0,3.21428571428571,3.21428571428571,3.21428571428571,16,56,14.0,17.0,10.0,10.0,4.0,13.3,0.0,0,133.10000000000002,-13.398428888888889,-76.1386323611111
2022,abr,Ica,Chincha,San Pedro De Huacarpana,3468,Rural,Sierra Centro,1.0,0.0,2.5,2.5,2.5,15,54,11.0,21.0,14.0,11.0,6.0,26.4,0.0,0,3747.073333333333,-13.059460666666668,-75.73964033333333
2022,abr,Ica,Ica,Ica,587,Medio,Costa Centro,1.9,20.0,0.0,0.0,0.0,10,24,5.0,4.0,2.0,2.0,1.0,19.1,12.5,1,422.7299999999999,-14.066883833333332,-75.7266995
2022,abr,Ica,Ica,Ica,589,Alto,Costa Centro,1.0,0.0,12.5,12.5,4.16666666666667,10,34,12.0,12.0,9.0,7.0,4.0,16.6,0.0,0,422.21,-14.067605166666668,-75.74151066666667
2022,abr,Ica,Ica,Ica,3449,Medio Bajo,Costa Centro,1.7,20.0,6.25,6.25,3.125,10,30,8.0,11.0,7.0,6.0,4.0,15.1,0.0,0,420.8,-14.062056000000002,-75.74586283333335
